bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
08:40,-280,4,08:40,-160,-80,-20
08:00,-260,2,08:00,-160,-70,-20
15:10,-70,3,15:10,-158,-80,-4
07:30,-140,10,07:30,-140,-70,-20
10:50,90,1,10:50,-180,-90,-10
11:50,-290,2,11:50,-180,-95,0
12:50,-50,6,12:50,-200,-100,20
13:10,-90,11,13:10,-180,-90,-20
08:00,-180,13,08:00,-160,-70,-20
10:00,-170,23,10:00,-170,-90,-10
12:20,-150,9,12:20,-200,-100,-10
09:30,80,2,09:30,-180,-80,-20
09:00,-240,5,09:00,-161,-80,-20
07:40,-320,1,07:40,-140,-70,-20
08:50,70,2,08:50,-160,-80,-20
12:50,60,4,12:50,-200,-100,20
10:20,30,6,10:20,-180,-90,-10
12:50,-70,10,12:50,-200,-100,20
10:20,-250,3,10:20,-180,-90,-10
13:40,-60,4,13:40,-199,-80,107
10:10,-10,20,10:10,-180,-90,-20
11:20,20,7,11:20,-180,-100,0
10:10,-420,1,10:10,-180,-90,-20
10:20,-310,1,10:20,-180,-90,-10
09:30,-360,1,09:30,-180,-80,-20
15:00,-50,1,15:00,-130,-55,77
08:10,30,3,08:10,-150,-80,-20
16:20,-70,1,16:20,-161,-45,113
12:40,-120,9,12:40,-180,-80,42
12:50,110,1,12:50,-200,-100,20
11:10,130,3,11:10,-190,-100,-10
10:00,70,2,10:00,-170,-90,-10
06:10,-40,13,06:10,-90,-40,-20
06:10,-400,1,06:10,-90,-40,-20
11:10,-200,7,11:10,-190,-100,-10
09:30,-210,8,09:30,-180,-80,-20
12:50,-20,2,12:50,-200,-100,20
11:30,240,1,11:30,-190,-100,-10
08:20,-190,11,08:20,-165,-80,-20
10:30,70,2,10:30,-181,-90,-10
08:10,-190,13,08:10,-150,-80,-20
15:10,-170,2,15:10,-158,-80,-4
11:40,-180,8,11:40,-190,-100,-10
05:50,-50,10,05:50,-72,-30,-18
12:00,-210,4,12:00,-204,-100,10
14:10,-70,2,14:10,-217,-100,-1
08:10,-250,4,08:10,-150,-80,-20
